filename,width,height,class,xmin,ymin,xmax,ymax,xmin_rel,xmax_rel,ymin_rel,ymax_rel
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,1417,272,1627,329,0.345947265625,0.397216796875,0.6044444444444445,0.7311111111111112
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,1447,374,1666,412,0.353271484375,0.40673828125,0.8311111111111111,0.9155555555555556
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,1936,97,2239,161,0.47265625,0.546630859375,0.21555555555555556,0.35777777777777775
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,1892,222,2224,274,0.4619140625,0.54296875,0.49333333333333335,0.6088888888888889
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,1922,329,2281,382,0.46923828125,0.556884765625,0.7311111111111112,0.8488888888888889
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,2484,56,2824,94,0.6064453125,0.689453125,0.12444444444444444,0.2088888888888889
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,2592,147,2917,202,0.6328125,0.712158203125,0.32666666666666666,0.4488888888888889
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,2657,269,2996,332,0.648681640625,0.7314453125,0.5977777777777777,0.7377777777777778
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,2712,376,3052,424,0.662109375,0.7451171875,0.8355555555555556,0.9422222222222222
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,3196,107,3541,159,0.7802734375,0.864501953125,0.23777777777777778,0.35333333333333333
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,3141,226,3456,272,0.766845703125,0.84375,0.5022222222222222,0.6044444444444445
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,3169,339,3521,381,0.773681640625,0.859619140625,0.7533333333333333,0.8466666666666667
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,3701,49,4044,101,0.903564453125,0.9873046875,0.10888888888888888,0.22444444444444445
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,3796,159,4096,221,0.9267578125,1.0,0.35333333333333333,0.4911111111111111
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,3924,287,4096,320,0.9580078125,1.0,0.6377777777777778,0.7111111111111111
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,3939,374,4096,416,0.961669921875,1.0,0.8311111111111111,0.9244444444444444
20180216_23_fw_3000_dc2.png,4096,450,twist,1990,171,2264,345,0.48583984375,0.552734375,0.38,0.7666666666666667
20180216_24_fw_3000_dc2.png,4096,450,twist,1347,94,1551,204,0.328857421875,0.378662109375,0.2088888888888889,0.4533333333333333
20180216_24_fw_3000_dc2.png,4096,450,twist,2838,195,3041,347,0.69287109375,0.742431640625,0.43333333333333335,0.7711111111111111
20180216_28_fw_3000_dc2.png,4096,450,wrinkle,1031,112,1289,161,0.251708984375,0.314697265625,0.24888888888888888,0.35777777777777775
20180216_28_fw_3000_dc2.png,4096,450,wrinkle,2977,311,3219,364,0.726806640625,0.785888671875,0.6911111111111111,0.8088888888888889
20180216_29_fw_3000_dc2.png,4096,450,twist,1060,98,1303,241,0.2587890625,0.318115234375,0.21777777777777776,0.5355555555555556
20180216_29_fw_3000_dc2.png,4096,450,twist,2944,270,3147,384,0.71875,0.768310546875,0.6,0.8533333333333334
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,34,107,341,147,0.00830078125,0.083251953125,0.23777777777777778,0.32666666666666666
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,156,221,384,271,0.0380859375,0.09375,0.4911111111111111,0.6022222222222222
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,234,349,449,372,0.05712890625,0.109619140625,0.7755555555555556,0.8266666666666667
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,527,59,899,96,0.128662109375,0.219482421875,0.13111111111111112,0.21333333333333335
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,624,159,951,199,0.15234375,0.232177734375,0.35333333333333333,0.44222222222222224
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,682,281,1011,322,0.16650390625,0.246826171875,0.6244444444444445,0.7155555555555555
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,839,369,1072,419,0.204833984375,0.26171875,0.82,0.9311111111111111
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,1184,99,1512,131,0.2890625,0.369140625,0.22,0.2911111111111111
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,1294,204,1597,252,0.31591796875,0.389892578125,0.4533333333333333,0.56
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,1489,334,1684,376,0.363525390625,0.4111328125,0.7422222222222222,0.8355555555555556
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,1794,52,2091,99,0.43798828125,0.510498046875,0.11555555555555555,0.22
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,1991,246,2242,292,0.486083984375,0.54736328125,0.5466666666666666,0.6488888888888888
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,2076,364,2316,417,0.5068359375,0.5654296875,0.8088888888888889,0.9266666666666666
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,2534,107,2757,147,0.61865234375,0.673095703125,0.23777777777777778,0.32666666666666666
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,2546,212,2851,249,0.62158203125,0.696044921875,0.4711111111111111,0.5533333333333333
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,2571,296,2869,321,0.627685546875,0.700439453125,0.6577777777777778,0.7133333333333334
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,2587,384,2897,412,0.631591796875,0.707275390625,0.8533333333333334,0.9155555555555556
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,2981,56,3304,87,0.727783203125,0.806640625,0.12444444444444444,0.19333333333333333
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,3231,167,3446,201,0.788818359375,0.84130859375,0.3711111111111111,0.44666666666666666
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,3164,254,3506,292,0.7724609375,0.85595703125,0.5644444444444444,0.6488888888888888
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,3294,347,3507,386,0.80419921875,0.856201171875,0.7711111111111111,0.8577777777777778
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,3761,109,4072,141,0.918212890625,0.994140625,0.24222222222222223,0.31333333333333335
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,3857,212,4096,246,0.941650390625,1.0,0.4711111111111111,0.5466666666666666
20180216_2_fw_3000_dc2.png,4096,450,wrinkle,3916,309,4094,347,0.9560546875,0.99951171875,0.6866666666666666,0.7711111111111111
20180216_33_fw_3000_dc2.png,4096,450,twist,3149,67,3493,424,0.768798828125,0.852783203125,0.14888888888888888,0.9422222222222222
20180216_3_fw_3000_dc2.png,4096,450,twist,284,71,559,436,0.0693359375,0.136474609375,0.15777777777777777,0.9688888888888889
20180216_3_fw_3000_dc2.png,4096,450,twist,1089,52,1384,442,0.265869140625,0.337890625,0.11555555555555555,0.9822222222222222
20180216_3_fw_3000_dc2.png,4096,450,twist,1684,69,2009,441,0.4111328125,0.490478515625,0.15333333333333332,0.98
20180216_3_fw_3000_dc2.png,4096,450,twist,2296,59,2621,439,0.560546875,0.639892578125,0.13111111111111112,0.9755555555555555
20180216_3_fw_3000_dc2.png,4096,450,twist,2999,91,3169,286,0.732177734375,0.773681640625,0.20222222222222222,0.6355555555555555
20180216_3_fw_3000_dc2.png,4096,450,twist,3517,67,3842,434,0.858642578125,0.93798828125,0.14888888888888888,0.9644444444444444
20180216_4_fw_3000_dc2.png,4096,450,twist,63,28,301,407,0.015380859375,0.073486328125,0.06222222222222222,0.9044444444444445
20180216_4_fw_3000_dc2.png,4096,450,twist,673,50,914,373,0.164306640625,0.22314453125,0.1111111111111111,0.8288888888888889
20180216_4_fw_3000_dc2.png,4096,450,twist,1289,18,1524,401,0.314697265625,0.3720703125,0.04,0.8911111111111111
20180216_4_fw_3000_dc2.png,4096,450,twist,1878,44,2146,431,0.45849609375,0.52392578125,0.09777777777777778,0.9577777777777777
20180216_4_fw_3000_dc2.png,4096,450,twist,2521,28,2766,436,0.615478515625,0.67529296875,0.06222222222222222,0.9688888888888889
20180216_4_fw_3000_dc2.png,4096,450,twist,3146,33,3381,357,0.76806640625,0.825439453125,0.07333333333333333,0.7933333333333333
20180216_4_fw_3000_dc2.png,4096,450,twist,3790,121,3997,300,0.92529296875,0.975830078125,0.2688888888888889,0.6666666666666666
20180216_5_fw_3000_dc2.png,4096,450,twist,292,68,592,304,0.0712890625,0.14453125,0.1511111111111111,0.6755555555555556
20180216_5_fw_3000_dc2.png,4096,450,twist,942,45,1226,340,0.22998046875,0.29931640625,0.1,0.7555555555555555
20180216_5_fw_3000_dc2.png,4096,450,twist,1764,51,2049,369,0.4306640625,0.500244140625,0.11333333333333333,0.82
20180216_5_fw_3000_dc2.png,4096,450,twist,2394,51,2679,388,0.58447265625,0.654052734375,0.11333333333333333,0.8622222222222222
20180216_5_fw_3000_dc2.png,4096,450,twist,3067,168,3277,353,0.748779296875,0.800048828125,0.37333333333333335,0.7844444444444445
20180216_5_fw_3000_dc2.png,4096,450,twist,3760,50,4096,377,0.91796875,1.0,0.1111111111111111,0.8377777777777777
20180216_6_fw_3000_dc2.png,4096,450,twist,117,205,351,395,0.028564453125,0.085693359375,0.45555555555555555,0.8777777777777778
20180216_6_fw_3000_dc2.png,4096,450,twist,690,54,954,347,0.16845703125,0.23291015625,0.12,0.7711111111111111
20180216_6_fw_3000_dc2.png,4096,450,twist,1305,31,1664,412,0.318603515625,0.40625,0.06888888888888889,0.9155555555555556
20180216_6_fw_3000_dc2.png,4096,450,twist,1931,26,2289,444,0.471435546875,0.558837890625,0.057777777777777775,0.9866666666666667
20180216_6_fw_3000_dc2.png,4096,450,twist,2560,78,2884,391,0.625,0.7041015625,0.17333333333333334,0.8688888888888889
20180216_6_fw_3000_dc2.png,4096,450,twist,3193,43,3466,356,0.779541015625,0.84619140625,0.09555555555555556,0.7911111111111111
20180216_6_fw_3000_dc2.png,4096,450,twist,3806,118,4096,444,0.92919921875,1.0,0.26222222222222225,0.9866666666666667
